name,type,address,url,rooms,seats,beds,capacity,self_park_rate,valet_rate,occupancy,turnover,valet_conv,op_days,peak_mod,valet_operator,garage_operator,management,ownership_group,gm,email,phone,location_notes,sourcing_notes
The Charleston Place,Hotel,"205 Meeting St, Charleston, SC 29401",https://charlestonplace.com,433,,,,,50,0.68,,0.45,365,1.15,independent,,Charlestowne Hotels / local ownership,Charleston Place LLC,,,(843) 722-4900,downtown historic district; flagship luxury property; heavy tourist valet demand,leisurelycharleston.com confirms 433 rooms; peak_mod 1.15 for tourism density; formerly Belmond
Hotel Bennett,Hotel,"404 King St, Charleston, SC 29403",https://www.hotelbennett.com,179,,,,,45,0.70,,0.45,365,1.15,independent,,Benchmark Hospitality,Hotel Bennett LLC,,,(843) 990-9900,Marion Square / upper King; landmark 5-star; heavy tourist valet demand,leisurelycharleston.com confirms 179 rooms; Benchmark management per industry sources; peak_mod 1.15
The Dewberry,Hotel,"334 Meeting St, Charleston, SC 29403",https://www.thedewberrycharleston.com,153,,,,,48,0.68,,0.45,365,1.15,independent,,Dewberry Hotels (self-managed),Dewberry Charleston LLC,,,(843) 558-8000,Marion Square; luxury boutique; independent valet; 153 rooms,leisurelycharleston.com confirms 153 rooms; independently managed; peak_mod 1.15 for tourism
Wentworth Mansion,Hotel,"149 Wentworth St, Charleston, SC 29401",https://wentworthmansion.com,21,,,,,0,0.70,,0.50,365,1.10,independent,,Charming Inns,Charming Inns LLC,,,(843) 853-1886,downtown historic; complimentary valet included; ultra-boutique; Charming Inns portfolio,wentworthmansion.com confirms 21 rooms; complimentary valet noted on site; Charming Inns operator
Planters Inn,Hotel,"112 N Market St, Charleston, SC 29401",https://www.plantersinn.com,62,,,,,35,0.68,,0.45,365,1.12,independent,,Planters Inn (independent),Independent/private,,,(843) 722-2345,Market/Meeting corner; Relais & Chateaux; historic district center,Michelin guide confirms 62 rooms; Relais & Chateaux independent; valet default applied
John Rutledge House Inn,Hotel,"116 Broad St, Charleston, SC 29401",https://johnrutledgehouseinn.com,19,,,,,30,0.68,,0.45,365,1.10,independent,,Charming Inns,Charming Inns LLC,,,(843) 723-7999,Broad St / Lower Peninsula; Charming Inns portfolio; B&B format,johnrutledgehouseinn.com confirms 19 rooms; Charming Inns operator
Zero George Street Hotel,Hotel,"0 George St, Charleston, SC 29401",https://zerogeorge.com,16,,,,,35,0.70,,0.45,365,1.10,independent,,Zero George (self-managed),Private,,,(843) 817-7900,Ansonborough; 16 rooms in restored 1804 buildings; ultra-boutique,zerogeorge.com room listing confirms 16 rooms; independent operation; Garden & Gun cited
French Quarter Inn,Hotel,"166 Church St, Charleston, SC 29401",https://www.fqicharleston.com,50,,,,,40,0.70,,0.45,365,1.12,independent,,French Quarter Inn (independent),Private,,,(866) 812-1900,French Quarter; AAA Four Diamond; independent luxury boutique,fqicharleston.com; Travel Weekly and hotelexecutive.com confirm ~50 rooms; independent ownership
HarbourView Inn,Hotel,"2 Vendue Range, Charleston, SC 29401",https://www.harbourviewcharleston.com,52,,,,,44,0.70,,0.45,365,1.12,independent,,HarbourView Inn (independent),Private,,,(843) 853-8439,Waterfront / French Quarter; harbor views; 52 rooms,travelweekly.com confirms 52 rooms; Vendue Range address; independent boutique
Hotel Emeline,Hotel,"181 Church St, Charleston, SC 29401",https://hotelemeline.com,74,,,,,40,0.68,,0.45,365,1.12,pmc,,Makeready,Makeready LLC,,,(843) 577-2644,historic district / Church St; Makeready managed; boutique,travelweekly.com confirms 181 Church St; Makeready management; room count ~74 est; PMC acquired Coastal Valet in Charleston
The Loutrel,Hotel,"61 State St, Charleston, SC 29401",https://www.theloutrel.com,50,,,,,40,0.70,,0.45,365,1.12,independent,,The Loutrel (independent),Private,,,(843) 872-9600,French Quarter; 50 rooms; luxury boutique opened 2021,theloutrel.com rooms page confirms 50 rooms; contact page confirms address/phone; independent
