name,type,address,url,rooms,seats,beds,capacity,self_park_rate,valet_rate,occupancy,turnover,valet_conv,op_days,peak_mod,valet_operator,garage_operator,management,ownership_group,gm,email,phone,location_notes,sourcing_notes
W Fort Lauderdale,Hotel,"401 N Fort Lauderdale Beach Blvd, Fort Lauderdale, FL 33304",https://www.marriott.com/en-us/hotels/fllwh-w-fort-lauderdale/overview/,459,,,,,63,0.65,,0.40,365,1.10,,towne_park,Marriott International,Starwood Capital Group,,,+1 954-414-8200,beachfront resort A1A; Steak 954 on-site; peak_mod 1.10 beachfront applied,travelweekly.com 459 rooms; marriott.com valet $63/day confirmed; peak_mod 1.10 beachfront
Hilton Fort Lauderdale Beach Resort (Beach House),Hotel,"505 N Fort Lauderdale Beach Blvd, Fort Lauderdale, FL 33304",https://www.hilton.com/en/hotels/fllfshh-beach-house-fort-lauderdale/,375,,,,,61,0.65,,0.40,365,1.10,,towne_park,Hilton Hotels & Resorts,Carey Diversified,,,+1 954-414-2222,beachfront A1A; rebranded Beach House Fort Lauderdale a Hilton Resort,hilton.com valet $61/day confirmed; oyster.com 374 rooms; travelweekly.com 375 rooms; peak_mod 1.10
The Westin Fort Lauderdale Beach Resort,Hotel,"321 N Fort Lauderdale Beach Blvd, Fort Lauderdale, FL 33304",https://www.marriott.com/en-us/hotels/flllw-the-westin-fort-lauderdale-beach-resort/overview/,432,,,,,55,0.65,,0.40,365,1.10,,towne_park,Marriott International,Host Hotels & Resorts,,,+1 954-467-1111,beachfront resort A1A; 5 restaurants; major convention group hotel,travelweekly.com 432 rooms; tripadvisor valet $55/night; peak_mod 1.10 beachfront; occupancy 0.65
Sonesta Fort Lauderdale Beach,Hotel,"999 N Fort Lauderdale Beach Blvd, Fort Lauderdale, FL 33304",https://www.sonesta.com/sonesta-hotels-resorts/fl/fort-lauderdale/sonesta-fort-lauderdale-beach,240,,,,,58,0.65,,0.40,365,1.10,,usa_parking,,Sonesta International Hotels,,,+1 954-315-1460,beachfront A1A; Steelpan Kitchen on-site; valet-only property,tripadvisor 240 rooms; sonesta.com overnight valet $58+tax; peak_mod 1.10 beachfront
Conrad Fort Lauderdale Beach,Hotel,"551 N Fort Lauderdale Beach Blvd, Fort Lauderdale, FL 33304",https://www.hilton.com/en/hotels/fllcici-conrad-fort-lauderdale-beach/,290,,,,,60,0.70,,0.45,365,1.10,,towne_park,Hilton Hotels & Resorts,LXR Hotels,,,+1 954-414-5100,luxury all-suite beachfront condo-hotel A1A; valet-only; high ADR,hilton.com overnight valet $60+tax; travelweekly.com 290 rooms; peak_mod 1.10
Four Seasons Hotel Fort Lauderdale,Hotel,"525 N Fort Lauderdale Beach Blvd, Fort Lauderdale, FL 33304",https://www.fourseasons.com/fortlauderdale/,189,,,,,67,0.70,,0.45,365,1.10,,towne_park,Four Seasons Hotels and Resorts,Fort Partners,,,+1 754-336-3100,ultra-luxury beachfront; 189 hotel rooms + 41 residences,fourseasons.com valet $67.41/night incl tax; press.fourseasons.com 189 rooms; peak_mod 1.10
The Ritz-Carlton Fort Lauderdale,Hotel,"1 N Fort Lauderdale Beach Blvd, Fort Lauderdale, FL 33304",https://www.ritzcarlton.com/en/hotels/fllrz-the-ritz-carlton-fort-lauderdale/overview/,192,,,,,59,0.70,,0.45,365,1.10,,towne_park,Marriott International,Vornado Realty Trust,,,+1 954-465-2300,luxury beachfront A1A; Burlock Coast restaurant on-site; valet-only,travelweekly.com 192 rooms; ritzcarlton.com valet $59 overnight $29 day; peak_mod 1.10
Pelican Grand Beach Resort,Hotel,"2000 N Ocean Blvd, Fort Lauderdale, FL 33305",https://www.pelicanbeach.com/,156,,,,,60,0.65,,0.40,365,1.10,,independent,Noble House Hotels & Resorts,Jefast Hotels LLC,,,+1 954-568-9431,boutique beachfront; Fort Lauderdale's only lazy river; OCEAN2000 restaurant on-site,travelweekly.com 156 rooms; pelicanbeach.com $60+tax valet; prnewswire.com Noble House mgmt; peak_mod 1.10
B Ocean Resort Fort Lauderdale,Hotel,"999 N Fort Lauderdale Beach Blvd, Fort Lauderdale, FL 33304",https://www.boceanresort.com/,487,,,,,55,0.60,,0.40,365,1.10,,usa_parking,B Hotels & Resorts,B Hotels & Resorts,,,+1 954-524-5551,beachfront resort; independent B Hotels brand; large property,travelocity.com 487 rooms; boceanresort.com valet $55+/night; peak_mod 1.10 beachfront
Atlantic Hotel & Spa,Hotel,"601 N Fort Lauderdale Beach Blvd, Fort Lauderdale, FL 33304",https://www.atlantichotelfl.com/,240,,,,,35,0.65,,0.40,365,1.10,,usa_parking,Hotel Equities,Private,,,+1 954-567-8020,boutique beachfront; Hotel Equities mgmt since 2022; valet-only,hotelequities.com confirms mgmt 2022; tripadvisor valet $35/night; rooms est 240 mid-size beachfront; peak_mod 1.10
