"name","type","address","url","rooms","seats","beds","capacity","self_park_rate","valet_rate","occupancy","turnover","valet_conv","op_days","peak_mod","valet_operator","garage_operator","management","ownership_group","gm","email","phone","location_notes","sourcing_notes"
"Hilton Cincinnati Netherland Plaza","Hotel","35 W 5th St, Cincinnati, OH 45202","https://www.hilton.com/en/hotels/cvgnphf-hilton-cincinnati-netherland-plaza/","561","","","","","45","0.62","","0.4","365","1.05","","laz","GF Hotels & Resorts","GF Hotels & Resorts","","","513-421-9100","downtown convention; Art Deco landmark in Carew Tower complex; adjacent Fountain Square; skywalk to Duke Energy Convention Center","Historic Hotels Worldwide 561 rooms confirmed; GF Hotels & Resorts management per gfhotels.com; valet_rate default $45; laz operates downtown garages per visitcincy.com"
"Hyatt Regency Cincinnati","Hotel","151 W 5th St, Cincinnati, OH 45202","https://www.hyatt.com/hyatt-regency/en-US/cinci-hyatt-regency-cincinnati","491","","","","","45","0.62","","0.4","365","1.05","","sp_plus","Davidson/Pivot Hotels & Resorts","Davidson Hotels","","","513-579-1234","downtown convention; steps from Duke Energy Convention Center; 40000 sq ft meeting space","Cvent 491 rooms confirmed 2024; Davidson/Pivot management per Cvent; valet_rate default; sp_plus active Cincinnati per spplus.com"
"The Westin Cincinnati","Hotel","21 E 5th St, Cincinnati, OH 45202","https://www.marriott.com/en-us/hotels/cvgwi-the-westin-cincinnati/overview/","456","","","","","42","0.6","","0.4","365","1.05","","","Marriott International","Host Hotels & Resorts","","","513-621-7700","downtown Fountain Square-facing; 456 rooms explicit on Marriott site; near Duke Energy CC","Marriott.com 456 rooms explicit; valet_rate default $42; Marriott-managed; Host Hotels REIT owner"
"Renaissance Cincinnati Downtown Hotel","Hotel","36 E 4th St, Cincinnati, OH 45202","https://www.marriott.com/en-us/hotels/cvgbr-renaissance-cincinnati-downtown-hotel/overview/","323","","","","","49","0.62","","0.4","365","1.05","","sp_plus","Marriott International","Marriott International","","","513-333-0000","downtown CBD; valet $49 confirmed; 14000 sq ft event space; Burnham Hall 700-person capacity","Marriott.com valet $49 confirmed; Travel Weekly 323 rooms; Expedia 323 rooms confirmed; Marriott-managed"
"The Lytle Park Hotel (Autograph Collection)","Hotel","311 Pike St, Cincinnati, OH 45202","https://www.thelytleparkhotel.com","106","","","","","50","0.65","","0.45","365","1.05","","","Marriott International","Marriott International","","","513-621-4500","downtown Lytle Park Historic District; AAA Four Diamond; boutique luxury; Subito restaurant on-site","Marriott.com address confirmed; room count 106 per boutique scale; default occupancy/valet_conv for lifestyle boutique; valet_rate default"
"AC Hotel by Marriott Cincinnati at The Banks","Hotel","135 Joe Nuxhall Way, Cincinnati, OH 45202","https://www.marriott.com/en-us/hotels/cvgbc-ac-hotel-cincinnati-at-the-banks/overview/","171","","","","","45","0.65","","0.4","365","1.1","","sp_plus","Marriott International","Marriott International","","","513-744-9900","The Banks event district; adjacent Great American Ball Park; rooftop bar Upper Deck; peak_mod 1.10 event proximity","Travel Weekly 171 rooms confirmed; Marriott.com valet $45 confirmed; event-heavy location; sp_plus standard"
"21c Museum Hotel Cincinnati","Hotel","609 Walnut St, Cincinnati, OH 45202","https://21cmuseumhotels.com/cincinnati/","156","","","","","40","0.65","","0.45","365","1.05","","","21c Museum Hotels","21c Museum Hotels","","","513-578-6600","downtown CBD; boutique lifestyle; adjacent CAC and Aronoff Center; Metronome restaurant","21cmuseumhotels.com explicit 156 rooms; valet_rate default for lifestyle boutique"
"Kinley Cincinnati Downtown (Tribute Portfolio)","Hotel","636 Race St, Cincinnati, OH 45202","https://www.kinleycincinnati.com","94","","","","","38","0.65","","0.4","365","1.0","","","Marriott International","Marriott International","","","513-381-1100","downtown OTR-adjacent; boutique Tribute Portfolio; 94 rooms","kinleycincinnati.com rooms page explicit 94 rooms; Marriott Tribute Portfolio; valet_rate default"
"Cincinnati Marriott at RiverCenter","Hotel","10 W RiverCenter Blvd, Covington, KY 41011","https://www.marriott.com/en-us/hotels/cvgdr-cincinnati-marriott-at-rivercenter/overview/","321","","","","","42","0.6","","0.4","365","1.05","","sp_plus","Marriott International","Marriott International","","","859-261-2900","Covington riverfront; skywalk to Northern Kentucky Convention Center; Mash + Oak restaurant","Travel Weekly 321 rooms confirmed; Marriott.com address; valet_rate default; convention hotel"
"Embassy Suites by Hilton Cincinnati RiverCenter","Hotel","10 E RiverCenter Blvd, Covington, KY 41011","https://www.hilton.com/en/hotels/cvgcves-embassy-suites-cincinnati-rivercenter/","226","","","","","35","0.58","","0.3","365","1.0","","","Hilton Hotels Corp","Hilton Hotels Corp","","","855-605-0319","Covington riverfront; Northern KY Convention Center adjacent; pedestrian bridge to downtown","Tripadvisor 226 rooms confirmed; Hilton brand; valet_rate default select-service"
"Hampton Inn & Suites Cincinnati-Downtown","Hotel","617 Vine St Suite A, Cincinnati, OH 45202","https://www.hilton.com/en/hotels/cvgvihx-hampton-suites-cincinnati-downtown/","176","","","","","32","0.58","","0.3","365","1.0","","","Hilton Hotels Corp","Hilton Hotels Corp","","","855-605-0321","downtown Vine Street; former Cincinnati Enquirer building; near Fountain Square; free breakfast","Room count 176 estimated (Hilton Hampton standard; Hilton.com confirmed property); valet_rate default"
