name,type,address,url,rooms,seats,beds,capacity,self_park_rate,valet_rate,occupancy,turnover,valet_conv,op_days,peak_mod,valet_operator,garage_operator,management,ownership_group,gm,email,phone,location_notes,sourcing_notes
Hilton Fort Wayne at the Grand Wayne Convention Center,Hotel,"1020 S Calhoun St, Fort Wayne, IN 46802",https://www.hilton.com/en/hotels/fwafhhf-hilton-fort-wayne-at-the-grand-wayne-convention-center/,246,,,, 15,n/a,0.60,,0.40,365,1.10,,,"Hilton Hotels & Resorts (managed)","Hilton Portfolio",,,(260) 420-1100,"downtown convention, attached to GWCC, skywalk access","TravelWeekly: 246 rooms; Hilton.com: self-park $15/day; defaults: occupancy 0.60, valet_conv 0.40 per convention hotel cookbook"
Courtyard by Marriott Fort Wayne Downtown at Grand Wayne Convention Center,Hotel,"1150 S Harrison St, Fort Wayne, IN 46802",https://www.marriott.com/en-us/hotels/fwadt-courtyard-fort-wayne-downtown-at-grand-wayne-convention-center/overview/,250,,,,15,n/a,0.60,,0.40,365,1.10,,,"Marriott International (managed)","Marriott Portfolio",,,(260) 490-3629,"downtown convention, connected to GWCC via skywalk","TravelWeekly: 250 rooms; Marriott.com: on-site parking $15/day; defaults per convention hotel cookbook"
Hampton Inn & Suites Fort Wayne Downtown,Hotel,"223 W Jefferson Blvd, Fort Wayne, IN 46802",https://www.hilton.com/en/hotels/fwadthx-hampton-suites-fort-wayne-downtown/,136,,,,n/a,n/a,0.60,,0.30,365,1.10,,,"Hilton Hotels & Resorts (managed)","Hilton Portfolio",,,(260) 420-1234,"downtown, adjacent Parkview Field, Conner's Rooftop bar on property","Expedia/TripAdvisor: 136 rooms; free breakfast, valet included per bradleyhotel.com mention of valet at nearby; self-park rate unknown; defaults select-service downtown"
The Bradley Hotel,Hotel,"204 W Main St, Fort Wayne, IN 46802",https://www.bradleyhotel.com,133,,,, n/a,0,0.65,,0.45,365,1.10,,,Provenance Hotels,Vera Bradley / Provenance Hotels,,,(260) 800-8686,"downtown boutique, valet included in stay, adjacent Landing district","visitfortwayne.com + bradleyhotel.com: 124 rooms + 9 suites = 133 total; valet parking included per hotel website; lifestyle/boutique defaults"
Hyatt Place Fort Wayne – Northwest,Hotel,"111 W Washington Center Rd, Fort Wayne, IN 46825",https://www.hyatt.com/hyatt-place/en-US/fwazn-hyatt-place-fort-wayne-northwest,120,,,,n/a,n/a,0.55,,0.30,365,1.0,,,"Hyatt Hotels Corp (managed)","Hyatt Portfolio",,,(260) 471-8522,"northwest Fort Wayne, near Memorial Coliseum, free parking","Travelocity: 120 rooms; TravelWeekly: 111 W Washington Center Rd; free parking, no valet; defaults select-service"
Hilton Garden Inn Fort Wayne,Hotel,"8615 US Hwy 24 W, Fort Wayne, IN 46804",https://www.hilton.com/en/hotels/fwafegi-hilton-garden-inn-fort-wayne/,84,,,,n/a,n/a,0.55,,0.30,365,1.0,,,"Hilton Hotels & Resorts (managed)","Hilton Portfolio",,,(260) 435-1777,"southwest corridor, near Lutheran Hospital, I-69 exit 302","TravelWeekly: 84 rooms; near Lutheran Hospital; defaults select-service"
Hilton Garden Inn Fort Wayne North,Hotel,"10650 Diebold Rd, Fort Wayne, IN 46845",https://www.hilton.com/en/hotels/fwanhgi-hilton-garden-inn-fort-wayne-north/,88,,,,n/a,n/a,0.55,,0.30,365,1.0,,,"Hilton Hotels & Resorts (managed)","Hilton Portfolio",,,(855) 618-4697,"north Fort Wayne, across from Parkview Regional Medical Center","TripAdvisor: 88 rooms; hilton.com confirms Parkview PRMC proximity; defaults select-service"
Homewood Suites by Hilton Fort Wayne,Hotel,"8621 US Hwy 24 W, Fort Wayne, IN 46804",https://www.hilton.com/en/hotels/fwainhw-homewood-suites-fort-wayne/,79,,,,n/a,n/a,0.55,,0.30,365,1.0,,,"Hilton Hotels & Resorts (managed)","Hilton Portfolio",,,(855) 605-0316,"southwest corridor, near Lutheran Hospital, free parking","TripAdvisor: 79 rooms; extended-stay; near Lutheran corridor; defaults select-service"
Residence Inn by Marriott Fort Wayne Southwest,Hotel,"7811 W Jefferson Blvd, Fort Wayne, IN 46804",https://www.marriott.com/en-us/hotels/fwari-residence-inn-fort-wayne-southwest/overview/,96,,,,n/a,n/a,0.55,,0.30,365,1.0,,,"Marriott International (managed)","Marriott Portfolio",,,(260) 432-8000,"southwest corridor, near Lutheran Hospital, free parking","Marriott.com address confirmed; TripAdvisor listing; approx. 96 rooms (industry standard for this brand/market; default)"
SpringHill Suites by Marriott Fort Wayne Southwest,Hotel,"7777 W Jefferson Blvd, Fort Wayne, IN 46804",https://www.marriott.com/en-us/hotels/fwaso-springhill-suites-fort-wayne-southwest/overview/,90,,,,n/a,n/a,0.55,,0.30,365,1.0,,,"Marriott International (managed)","Marriott Portfolio",,,(260) 498-8001,"southwest corridor, near Lutheran Hospital, free parking","Marriott.com address confirmed; rooms default ~90 (new property, TripAdvisor listing); near Lutheran corridor"
Fairfield by Marriott Inn & Suites Fort Wayne Southwest,Hotel,"7737 W Jefferson Blvd, Fort Wayne, IN 46804",https://www.marriott.com/en-us/hotels/fwasw-fairfield-inn-and-suites-fort-wayne-southwest/overview/,61,,,,n/a,n/a,0.55,,0.30,365,1.0,,,"Marriott International (managed)","Marriott Portfolio",,,(260) 436-1000,"southwest corridor, near Lutheran Hospital, free parking","TripAdvisor: 61 rooms; Marriott.com confirmed address; near Lutheran corridor"
TownePlace Suites by Marriott Fort Wayne North,Hotel,"3949 Ice Way Dr, Fort Wayne, IN 46805",https://www.marriott.com/en-us/hotels/fwats-towneplace-suites-fort-wayne-north/overview/,89,,,,n/a,n/a,0.55,,0.30,365,1.0,,,"Marriott International (managed)","Marriott Portfolio",,,(260) 483-1160,"north Fort Wayne, near Memorial Coliseum (<2 mi), free parking","Expedia: 89 rooms; Marriott.com address; extended-stay brand; defaults select-service"
SpringHill Suites by Marriott Fort Wayne North,Hotel,"near Parkview Regional, Fort Wayne, IN 46845",https://www.marriott.com/en-us/destinations/united-states/indiana/fort-wayne.mi,95,,,,n/a,n/a,0.55,,0.30,365,1.0,,,"Marriott International (managed)","Marriott Portfolio",,,,"north Fort Wayne, near Parkview Regional Medical Center","Marriott destination page confirms this property; address approximate; ~95 rooms default for brand"
Grand Wayne Convention Center,Venue,"120 W Jefferson Blvd, Fort Wayne, IN 46802",https://grandwayne.com,,,,,10,n/a,,,,150,1.15,,,City of Fort Wayne,,,,,"downtown convention anchor, 225,000 sf, attached hotels, garage parking","Wikipedia + visitfortwayne.com + grandwayne.com: 225,000 sf; max theater 4,500; banquet 3,080; parking $10; 2nd largest convention facility in Indiana; op_days = ~150 event-days est."
Embassy Theatre,Venue,"125 W Jefferson Blvd, Fort Wayne, IN 46802",https://fwembassytheatre.org,,,,2471,n/a,n/a,,,,150,1.10,,,Embassy Theatre Foundation,,,,,(260) 424-5665,"downtown performing arts, historic Grand Palace theatre","fwembassytheatre.org: 2,471 seats confirmed; op_days ~150 shows/events per year est."
Parkview Field,Venue,"1301 Ewing St, Fort Wayne, IN 46802",https://www.milb.com/fort-wayne,,,,8100,n/a,n/a,,,,70,1.10,,,Fort Wayne TinCaps / MiLB,,,,,(260) 482-6400,"downtown event-district, Minor League Baseball, Parkview Field","milb.com confirms 8,100+ capacity; op_days ~70 home games per MiLB season"
Allen County War Memorial Coliseum,Venue,"4000 Parnell Ave, Fort Wayne, IN 46805",https://www.memorialcoliseum.com,,,,13000,8,n/a,,,,120,1.10,,,Allen County,,,,,(260) 482-9502,"north of downtown, multi-use arena + expo center, 5,500 parking spaces","Wikipedia + Venue Coalition: 13,000 cap (basketball), 8,369 end-stage; parking $8 standard; op_days ~120 events est."
Clyde Theatre,Venue,"1808 Bluffton Rd, Fort Wayne, IN 46809",https://clydetheatre.com,,,,2000,n/a,n/a,,,,80,1.0,,,Independent,,,,,"southwest Fort Wayne, premier live music venue, free parking","Cvent: standing cap 2,000 / seated 350; clydetheatre.com confirmed; op_days ~80 events est."
Arts United Center,Venue,"303 E Main St, Fort Wayne, IN 46802",https://www.artscampusfw.org,,,,660,n/a,n/a,,,,100,1.0,,,Arts United of Greater Fort Wayne,,,,,(260) 424-0646,"downtown arts campus, intimate PAC, Fort Wayne Ballet + Civic Theatre home","artscampusfw.org: 660-seat theatre; Louis Kahn design; op_days ~100 shows/events est."
Foellinger Outdoor Theatre,Venue,"3411 Sherman Blvd, Fort Wayne, IN 46808",https://www.cityoffortwayne.in.gov/961/Venue-Rental,,,,2751,n/a,n/a,,,,40,1.05,,,City of Fort Wayne,,,,,(260) 427-6018,"Franke Park, outdoor amphitheater, summer concert series, near Fort Wayne Zoo","visitfortwayne.com: 2,751 capacity confirmed; summer season only, op_days ~40 events est."
Fort Wayne Museum of Art,Venue,"311 E Main St, Fort Wayne, IN 46802",https://fwmoa.org,,,,500,n/a,n/a,,,,200,1.0,,,Fort Wayne Museum of Art,,,,,"downtown arts campus, ticketed events and galas with volunteer valet","fwmoa.org: events and galas; valet for events mentioned on parking page; cap ~500 est. for events; op_days 200 (regular hours Tue-Sun)"
Science Central,Venue,"1950 N Clinton St, Fort Wayne, IN 46202",https://www.sciencecentral.org,,,,300,n/a,n/a,,,,200,1.0,,,Science Central,,,,,(260) 424-2400,"north near downtown, science center in historic power plant, events","sciencecentral.org; capacity est. 300 for events; op_days 200 operating days"
Parkview Regional Medical Center,Hospital,"11109 Parkview Plaza Dr, Fort Wayne, IN 46845",https://www.parkview.com/locations/parkview-regional-medical-center,,,823,, n/a,n/a,,,0.10,365,1.0,,,Parkview Health,,,,,(260) 266-1000,"north Fort Wayne, flagship 823-bed hospital, valet temporarily suspended","IN.gov hospital directory: 823 staffed beds; Parkview.com valet temporarily suspended; Leapfrog confirmed address"
Lutheran Hospital of Indiana,Hospital,"7950 W Jefferson Blvd, Fort Wayne, IN 46804",https://www.lutheranhospital.com,,,396,, n/a,5,,,0.10,365,1.0,,,Community Health Systems,,,,,(260) 435-7001,"southwest corridor, 396-bed tertiary care, CHS-affiliated","lutheranhospital.com: 396-bed; IN.gov directory: 396 staffed beds; Leapfrog: 7950 W Jefferson Blvd; valet_rate $5 default hospital"
Lutheran Downtown Hospital,Hospital,"702 Van Buren St, Fort Wayne, IN 46802",https://www.lutherandowntownhospital.com,,,145,, n/a,5,,,0.10,365,1.0,,,Community Health Systems,,,,,(260) 425-3000,"downtown Fort Wayne, 145-bed community hospital on Van Buren","IN.gov directory: 145 staffed beds; lutherandowntownhospital.com: 60 beds referenced (older census); using 145 per IN.gov 2026 data"
Parkview Hospital Randallia,Hospital,"2200 Randallia Dr, Fort Wayne, IN 46805",https://www.parkview.com/locations/parkview-hospital-randallia,,,243,, n/a,5,,,0.10,365,1.0,,,Parkview Health,,,,,(260) 373-4000,"midtown, 243-bed community hospital, behavioral health adjacent","Parkview.com facilities page: 243 patient beds in main Randallia facility; IN.gov directory confirming Parkview portfolio"
Parkview Ortho Hospital,Hospital,"11130 Parkview Circle Dr, Fort Wayne, IN 46845",https://www.parkview.com/locations/parkview-ortho-hospital,,,37,, n/a,5,,,0.10,365,1.0,,,Parkview Health,,,,,(260) 672-4300,"north Fort Wayne, Parkview PRMC campus, dedicated ortho facility","IN.gov hospital directory: 37 staffed beds; Parkview.com plan-your-visit confirms address and free parking"
Eddie Merlot's Prime Aged Beef & Seafood,Restaurant,"1502 Illinois Rd, Fort Wayne, IN 46804",https://www.eddiemerlots.com/fort-wayne/,,250,,,n/a,n/a,,1.5,0.125,365,1.0,,,Eddie Merlot's Inc,,,,,(260) 459-2222,"Jefferson Pointe area, upscale steakhouse, private dining rooms","eddiemerlots.com: private rooms 70+40+20=130; full dining floor est. 250 total per cookbook default fine-dining steakhouse"
Ruth's Chris Steak House,Restaurant,"224 W Wayne St, Fort Wayne, IN 46802",https://www.ruthschrisphg.com/fort-wayne,,250,,,n/a,15,,1.5,0.125,365,1.0,,,Ruth's Hospitality Group,,,,,(260) 444-5898,"downtown, fine-dining steakhouse, Ruth's Chris franchise","ruthschrisphg.com + visitfortwayne DTFW dining: confirmed address and phone; seats default 250 fine-dining cookbook; valet_rate $15 est."
Club Soda,Restaurant,"235 E Superior St, Fort Wayne, IN 46802",https://clubsodafortwayne.com,,200,,,n/a,n/a,,1.5,0.125,365,1.0,,,Independent,,,,,(260) 426-3442,"downtown, historic jazz venue, award-winning steaks, garage parking","TripAdvisor + club soda website: 235 E Superior St, (260) 426-3442; seats default 200 per cookbook; self-park in Headwaters Lofts Garage"
The Gas House,Restaurant,"305 E Superior St, Fort Wayne, IN 46802",https://www.donhalls.com/the-gas-house,,250,,,n/a,n/a,,1.5,0.125,365,1.0,,,Don Hall's Restaurant Group,,,,,(260) 426-3411,"downtown, historic gas plant, Don Hall's flagship, upscale-casual","donhalls.com: 305 E Superior St, (260) 426-3411; seats default 250 per cookbook; Don Hall's parent"
Tolon,Restaurant,"614 S Harrison St, Fort Wayne, IN 46802",https://tolonrestaurant.com,,120,,,n/a,n/a,,1.5,0.125,365,1.0,,,Independent,,,,,(260) 399-5128,"downtown, upscale farm-to-fork, chef-driven independent","tolonrestaurant.com + Yelp: 614 S Harrison St, (260) 399-5128; seats default 120 chef-driven independent"
