name,type,address,url,rooms,seats,beds,capacity,self_park_rate,valet_rate,occupancy,turnover,valet_conv,op_days,peak_mod,valet_operator,garage_operator,management,ownership_group,gm,email,phone,location_notes,sourcing_notes
Sheraton Raleigh Hotel,Hotel,"421 S Salisbury St, Raleigh, NC 27601",https://www.marriott.com/en-us/hotels/rdusi-sheraton-raleigh-hotel/overview/,353,,,,,28,0.6,,0.4,365,1.0,,,Marriott managed,Marriott International,,,(919) 834-9900,downtown convention district; adjacent Raleigh Convention Center,visitraleigh.com 353 rooms; valet $28 per TripAdvisor; self-park Hannover II garage
Raleigh Marriott City Center,Hotel,"500 Fayetteville St, Raleigh, NC 27601",https://www.marriott.com/en-us/hotels/rdumc-raleigh-marriott-city-center/overview/,401,,,,,35,0.65,,0.4,365,1.0,,,Marriott managed,Marriott International,,,(919) 833-1120,downtown convention district; connected to Raleigh Convention Center; Fayetteville Street anchor,visitraleigh.com + downtownraleigh.org 401 rooms; valet_rate default downtown convention cookbook
Renaissance Raleigh North Hills Hotel,Hotel,"4100 Main at North Hills St, Raleigh, NC 27609",https://www.marriott.com/en-us/hotels/rdurn-renaissance-raleigh-north-hills-hotel/overview/,229,,,,,40,0.65,,0.45,365,1.0,,,Marriott managed,Marriott International,,,(919) 571-8773,North Hills midtown mixed-use lifestyle district; major meeting hotel,Cvent confirms 229 rooms; valet_rate default lifestyle boutique cookbook
AC Hotel Raleigh North Hills,Hotel,"101 Park at North Hills St, Raleigh, NC 27609",https://www.marriott.com/en-us/hotels/rduar-ac-hotel-raleigh-north-hills/overview/,135,,,,,30,0.55,,0.3,365,1.0,,,Marriott managed,Marriott International,,,(919) 571-2500,North Hills midtown; select-service lifestyle; shares district with Renaissance and Hyatt House,travelweekly.com 135 rooms; built 2017; valet_rate default select-service cookbook
Residence Inn Raleigh Downtown,Hotel,"616 S Salisbury St, Raleigh, NC 27601",https://www.marriott.com/en-us/hotels/rdurx-residence-inn-raleigh-downtown/overview/,175,,,,,30,0.55,,0.3,365,1.0,,,Marriott managed,Marriott International,,,(919) 856-0017,downtown adjacent to Raleigh Convention Center; extended-stay profile,travelweekly.com 175 rooms; built 2017; valet_rate default select-service downtown
The StateView Hotel,Hotel,"2451 Alumni Dr, Raleigh, NC 27606",https://www.stateviewhotel.com,164,,,,,40,0.65,,0.45,365,1.0,,,Marriott managed (Autograph Collection),Marriott International,,,(919) 743-0055,NC State Centennial Campus; boutique lifestyle; Lake Raleigh views,travelweekly.com 164 rooms; Autograph Collection; visitraleigh.com confirms address
Origin Hotel Raleigh,Hotel,"603 W Morgan St, Raleigh, NC 27603",https://www.originhotel.com,126,,,,,35,0.65,,0.45,365,1.0,,,Origin Hotel Collection,Origin Hotel Collection,,,,downtown Raleigh Warehouse District; boutique lifestyle; 7-story locally-inspired,visitraleigh.com + downtownraleigh.org 126 rooms; independent lifestyle brand; address also listed as 607 W Morgan
The Longleaf Hotel,Hotel,"300 N Dawson St, Raleigh, NC 27603",https://www.thelongleafhotel.com,56,,,,,30,0.65,,0.45,365,1.0,,,Independent,Independent,,,(919) 867-5770,downtown Raleigh northern gateway; mid-century boutique motor lodge; near performing arts,Expedia + Travelocity confirm 56 rooms; independently owned and operated
The Umstead Hotel and Spa,Hotel,"100 Woodland Pond Dr, Cary, NC 27513",https://www.theumstead.com,150,,,,,45,0.72,,0.55,365,1.15,,,Independent (SAS-affiliated),SAS Industries,,,(919) 447-4000,Cary luxury resort near RDU/RTP; AAA Five Diamond; strong valet culture; SAS campus drive,theumstead.com confirms 150 rooms; resort/luxury cookbook; peak_mod 1.15 event/wedding season
Washington Duke Inn & Golf Club,Hotel,"3001 Cameron Blvd, Durham, NC 27705",https://www.washingtondukeinn.com,271,,,,,40,0.68,,0.5,365,1.1,,,Washington Duke Inn (Duke University),Duke University,,,(919) 490-0999,Durham Duke University campus; resort/conference; golf; high valet profile; 20k sqft events,travelweekly.com 271 rooms; Duke-owned/managed; peak_mod 1.10 graduation/event seasons
21c Museum Hotel Durham,Hotel,"111 N Corcoran St, Durham, NC 27701",https://21cmuseumhotels.com/durham/,125,,,,,40,0.68,,0.5,365,1.0,,,21c Museum Hotels (MGallery/Accor),Accor,,,(919) 956-6700,downtown Durham near American Tobacco District; boutique art hotel; Counting House restaurant,travelweekly.com 125 rooms; Cvent confirms; Accor MGallery brand
JB Duke Hotel,Hotel,"230 Science Dr, Durham, NC 27708",https://www.jbdukehotel.com,198,,,,,35,0.65,,0.45,365,1.0,,,Washington Duke Inn (Duke University),Duke University,,,(919) 660-6400,Duke University campus; conference hotel adjacent Fuqua School of Business; sister to Washington Duke Inn,travelweekly.com 198 rooms; same Duke ownership group as Washington Duke Inn
Unscripted Durham,Hotel,"202 N Corcoran St, Durham, NC 27701",https://www.hyatt.com/jdv-by-hyatt/en-US/rdujd-unscripted-durham,74,,,,,30,0.65,,0.4,365,1.0,,,JdV by Hyatt (Dream Hotel Group),Hyatt / Dream Hotel Group,,,(984) 329-9500,downtown Durham near DPAC and Durham Bulls Athletic Park; boutique lifestyle; rooftop pool,travelweekly.com 74 rooms; JdV by Hyatt brand under Dream Hotel Group management
The Durham Hotel,Hotel,"315 E Chapel Hill St, Durham, NC 27701",https://www.thedurham.com,53,,,,,30,0.65,,0.4,365,1.0,,,Independent,Independent,,,,downtown Durham; only independently owned downtown Durham hotel; rooftop lounge; community hub,thedurham.com confirms 53 rooms including 4 suites; independently owned and locally operated
Marriott at Research Triangle Park,Hotel,"4700 Guardian Dr, Durham, NC 27703",https://www.marriott.com/en-us/hotels/rducp-marriott-raleigh-durham-research-triangle-park/overview/,225,,,,,30,0.6,,0.35,365,1.0,,,Marriott managed,Marriott International,,,(919) 941-6200,RTP corridor; conference/corporate market near Duke/UNC/RTP; full-service,travelweekly.com 225 rooms; Marriott-managed; corporate park setting
Westin Raleigh-Durham Airport,Hotel,"3931 Macaw St, Raleigh, NC 27617",https://www.marriott.com/en-us/hotels/rduwr-the-westin-raleigh-durham-airport/overview/,236,,,,,35,0.6,,0.35,365,1.0,,,Marriott managed,Marriott International,,,(919) 224-1400,RDU airport corridor; upscale airport hotel; 7 meeting rooms 14k sqft,travelweekly.com 236 rooms; visitraleigh.com confirms; Westin brand
Raleigh Marriott Crabtree Valley,Hotel,"4500 Marriott Dr, Raleigh, NC 27612",https://www.marriott.com/en-us/hotels/rdunc-raleigh-marriott-crabtree-valley/overview/,379,,,,10,30,0.6,,0.35,365,1.0,,,Marriott managed,Marriott International,,,(919) 781-7000,midtown Crabtree Valley; large conference hotel; 22k sqft meeting space; near mall,visitraleigh.com 379 sleeping rooms; self-park $10/day per Marriott site confirmed
Hilton Raleigh North Hills,Hotel,"3415 Wake Forest Rd, Raleigh, NC 27609",https://www.hilton.com/en/hotels/rdunhhf-hilton-north-raleigh-midtown/,333,,,,,35,0.6,,0.35,365,1.0,,,Hilton managed,Hilton Hotels & Resorts,,,(919) 872-2323,North Hills/midtown; large full-service; near North Hills shopping corridor; 23 meeting rooms,travelweekly.com 333 rooms; Hilton-managed; hilton.com confirms address
Embassy Suites Raleigh Durham Research Triangle,Hotel,"201 Harrison Oaks Blvd, Cary, NC 27513",https://www.hilton.com/en/hotels/rduapes-embassy-suites-raleigh-durham-research-triangle/,273,,,,,25,0.58,,0.3,365,1.0,,,Hilton managed,Hilton Hotels & Resorts,,,(919) 677-1840,Cary near RDU/RTP; all-suite extended stay; 20k sqft meeting space; corporate market,visitraleigh.com 273 suites; Hilton-managed
Embassy Suites Raleigh-Durham Airport Brier Creek,Hotel,"8001 Arco Corporate Dr, Raleigh, NC 27617",https://www.hilton.com/en/hotels/rduaces-embassy-suites-raleigh-durham-airport-brier-creek/,173,,,,,25,0.58,,0.3,365,1.0,,,Hilton managed,Hilton Hotels & Resorts,,,,Brier Creek near RDU airport; all-suite extended stay; corporate demand,visitraleigh.com 173 suites; Hilton-managed; 154 suites of 173 total
Hyatt House Raleigh North Hills,Hotel,"160 Park at North Hills St, Raleigh, NC 27609",https://www.hyatt.com/hyatt-house/en-US/rduxn-hyatt-house-raleigh-north-hills,137,,,,,25,0.58,,0.3,365,1.0,,,Hyatt managed,Hyatt Hotels Corporation,,,(919) 363-0771,North Hills extended-stay select-service; near AC Hotel and Renaissance North Hills,travelweekly.com 137 rooms; Hyatt-managed
Aloft Raleigh,Hotel,"2100 Hillsborough St, Raleigh, NC 27607",https://www.marriott.com/en-us/hotels/rdura-aloft-raleigh/overview/,135,,,,,25,0.55,,0.3,365,1.0,,,Marriott managed,Marriott International,,,(919) 828-9900,near NC State/west downtown; select-service lifestyle; Hillsborough Street corridor,travelweekly.com 135 rooms; built 2015; Marriott-managed
Tempo by Hilton Raleigh Downtown,Hotel,"200 W Davie St, Raleigh, NC 27601",https://www.hilton.com/en/hotels/rdudopo-tempo-raleigh-downtown/,124,,,,,35,0.65,,0.4,365,1.0,,,Hilton managed,Hilton Hotels & Resorts,,,(919) 645-5080,downtown Raleigh; opened 2024; near convention center; confirmed valet by multiple guest reviews,travelweekly.com 124 rooms opened 2024; TripAdvisor valet reviews confirmed; first Tempo brand in NC
Homewood Suites by Hilton Raleigh Downtown,Hotel,"200 W Davie St Ste A, Raleigh, NC 27601",https://www.hilton.com/en/hotels/rduwdhw-homewood-suites-raleigh-downtown/,134,,,,,30,0.6,,0.3,365,1.0,,,Hilton managed,Hilton Hotels & Resorts,,,,downtown Raleigh; sister property to Tempo by Hilton; extended-stay; shared valet infrastructure,TripAdvisor 134 rooms; opened 2024 alongside Tempo by Hilton; shared address and valet
DoubleTree by Hilton Raleigh Midtown,Hotel,"2805 Highwoods Blvd, Raleigh, NC 27604",https://www.hilton.com/en/hotels/rdumtdt-doubletree-raleigh-midtown/,130,,,,,25,0.55,,0.3,365,1.0,,,Hilton managed,Hilton Hotels & Resorts,,,,midtown Raleigh Design District; 10 min from downtown; near Lenovo Center,TripAdvisor 130 rooms; formerly Holiday Inn Raleigh-North; Hilton-managed
DoubleTree by Hilton Raleigh Crabtree Valley,Hotel,"4100 Glenwood Ave, Raleigh, NC 27612",https://www.hilton.com/en/hotels/rduvldt-doubletree-raleigh-crabtree-valley/,176,,,,,25,0.55,,0.3,365,1.0,,,Hilton managed,Hilton Hotels & Resorts,,,(919) 782-8600,midtown Crabtree area; near mall and I-440; 15 min from downtown,travelweekly.com 176 rooms; Hilton-managed; visitraleigh.com confirms address
Hyatt Place Raleigh/Cary,Hotel,"710 Corporate Center Dr, Raleigh, NC 27607",https://www.hyatt.com/hyatt-place/en-US/rduzh-hyatt-place-raleigh-cary,125,,,,,25,0.55,,0.3,365,1.0,,,Hyatt managed,Hyatt Hotels Corporation,,,(919) 233-2205,near Lenovo Center and Carter-Finley Stadium; Cary/west Raleigh corridor; event-adjacent,travelweekly.com 710 Corporate Center Dr; Hyatt Place West/RBC Center; ~125 rooms select-service
Hyatt Place Raleigh-Durham Airport,Hotel,"200 Airgate Dr, Morrisville, NC 27560",https://www.hyatt.com/hyatt-place/en-US/rduzr-hyatt-place-raleigh-durham-airport,94,,,,,20,0.55,,0.3,365,1.0,,,Hyatt managed,Hyatt Hotels Corporation,,,(919) 405-2400,RDU airport corridor Morrisville; select-service; airport/RTP corporate travel,TripAdvisor 200 Airgate Dr 94 rooms; visitraleigh.com confirms address; Hyatt Place brand
DoubleTree by Hilton Raleigh-Durham Airport at RTP,Hotel,"4810 Page Creek Ln, Durham, NC 27703",https://www.hilton.com/en/hotels/rdudadt-doubletree-raleigh-durham-airport-at-research-triangle-park/,193,,,,,25,0.55,,0.3,365,1.0,,,Hilton managed,Hilton Hotels & Resorts,,,,RTP corridor Durham; full-service airport/RTP hotel; corporate conference market,hilton.com confirms 4810 Page Creek Ln Durham; default 193 rooms full-service DoubleTree
