name,type,address,url,rooms,seats,beds,capacity,self_park_rate,valet_rate,occupancy,turnover,valet_conv,op_days,peak_mod,valet_operator,garage_operator,management,ownership_group,gm,email,phone,location_notes,sourcing_notes
Hilton Columbus Downtown,Hotel,"402 North High Street, Columbus, OH 43215",https://www.hilton.com/en/hotels/cmhdwhh-hilton-columbus-downtown/,1000,,,,,45,0.65,,0.40,365,1.10,,sp_plus,Hilton Hotels & Resorts,Hilton,,,+1 614-384-8600,downtown convention; largest hotel in Ohio; adjacent to GCCC; 2-tower complex opened 2022,hilton.com + stories.hilton.com press release Oct 2022; valet rate from Orbitz/review sources; sp_plus operator from Columbus parking presence; occupancy/valet_rate default
Hyatt Regency Columbus,Hotel,"350 North High Street, Columbus, OH 43215",https://www.hyatt.com/hyatt-regency/en-US/cmhrc-hyatt-regency-columbus,633,,,,,35,0.62,,0.40,365,1.10,,sp_plus,Hyatt Hotels Corporation,Host Hotels & Resorts,,,+1 614-463-1234,downtown convention; connected to Greater Columbus Convention Center,travelweekly.com (633 rooms); futureconevents parking doc ($35/day valet); sp_plus operator confirmed Columbus market
Renaissance Columbus Downtown Hotel,Hotel,"50 North Third Street, Columbus, OH 43215",https://www.marriott.com/en-us/hotels/cmhbr-renaissance-columbus-downtown-hotel/overview/,408,,,,,45,0.60,,0.40,365,1.05,,sp_plus,Marriott Hotels & Resorts,Marriott International,,,+1 614-228-5050,downtown business district; near State Capitol,cvent.com (408 rooms); marriott.com ($45/day valet); travelweekly.com confirms 408
Sheraton Columbus Hotel at Capitol Square,Hotel,"75 East State Street, Columbus, OH 43215",https://www.marriott.com/en-us/hotels/cmhsi-sheraton-columbus-hotel-at-capitol-square/overview/,403,,,,,38,0.60,,0.40,365,1.05,,,Marriott Hotels & Resorts,Marriott International,,,+1 614-365-4500,downtown Capitol Square; near Ohio Theatre and State Capitol,cvent.com (403 rooms); travelweekly.com (403 rooms); valet_rate default per brief cookbook
Westin Great Southern Columbus,Hotel,"310 South High Street, Columbus, OH 43215",https://www.marriott.com/en-us/hotels/cmhwi-the-westin-great-southern-columbus/overview/,189,,,,,40,0.62,,0.45,365,1.05,,sp_plus,Marriott Hotels & Resorts,Marriott International,,,+1 614-228-3800,downtown near German Village and Brewery District; historic 1897 landmark,cvent.com (189 rooms); marriott.com ($40/day valet); tripadvisor confirms 189 rooms
AC Hotel Columbus Downtown,Hotel,"517 Park Street, Columbus, OH 43215",https://www.marriott.com/en-us/hotels/cmhad-ac-hotel-columbus-downtown-oh/overview/,150,,,,,39,0.62,,0.40,365,1.05,,,Marriott Hotels & Resorts,Marriott International,,,+1 614-227-6100,Short North; valet-only property; urban lifestyle hotel,marriott.com ($39/day valet confirmed); tripadvisor confirms valet-only; rooms estimated from brand standard (select-service ~150)
Hotel LeVeque Autograph Collection,Hotel,"50 West Broad Street, Columbus, OH 43215",https://www.marriott.com/en-us/hotels/cmhak-hotel-leveque-autograph-collection/overview/,149,,,,n/a,40,0.65,,0.45,365,1.05,,,Marriott Hotels & Resorts,Marriott International,,,+1 614-224-9500,downtown historic tower; boutique lifestyle; near Ohio Theatre and Statehouse,hotellevequecolumbus.com (149 rooms); marriott.com; tripadvisor (149 rooms confirmed); valet_rate default
Le Méridien Columbus The Joseph,Hotel,"620 North High Street, Columbus, OH 43215",https://www.marriott.com/en-us/hotels/cmhdm-le-meridien-columbus-the-joseph/overview/,135,,,,30,50,0.65,,0.45,365,1.05,,,Marriott Hotels & Resorts,Rockbridge,,,+1 614-227-0100,Short North lifestyle hotel; art-forward; valet mandatory,travelweekly.com (135 rooms); marriott.com ($50/day valet); tripadvisor ($30 self/$30 valet); Rockbridge as owner from public records
Graduate Columbus,Hotel,"750 North High Street, Columbus, OH 43215",https://www.hilton.com/en/hotels/cmhclgu-graduate-columbus/,171,,,,n/a,35,0.65,,0.45,365,1.05,,,Graduate Hotels (Hilton),AJ Capital Partners,,,+1 614-291-5665,Short North / OSU corridor; university-lifestyle brand,uhdcolumbus.com (171 rooms); hilton.com confirms address; valet_rate default per boutique tier
Moxy Columbus Short North,Hotel,"808 North High Street, Columbus, OH 43215",https://www.marriott.com/en-us/hotels/cmhox-moxy-columbus-short-north/overview/,100,,,,n/a,30,0.60,,0.30,365,1.05,,,Marriott Hotels & Resorts,Marriott International,,,+1 614-412-7664,Short North neighborhood hotel; select-service lifestyle,marriott.com (address confirmed); rooms estimated ~100 per Moxy brand standard; valet_rate default select-service
Hilton Columbus at Easton,Hotel,"3900 Chagrin Drive, Columbus, OH 43219",https://www.hilton.com/en/hotels/cmhchhf-hilton-columbus-at-easton/,345,,,,n/a,30,0.60,,0.30,365,1.00,,,Hilton Hotels & Resorts,Hilton,,,+1 614-414-5000,Easton Town Center submarket; 4-diamond full-service suburban hotel,travelweekly.com (345 rooms); hilton.com (address); valet from tripadvisor reviews; occupancy default suburban tier
The Junto,Hotel,"77 Belle Street, Columbus, OH 43215",https://thejuntohotel.com,198,,,,n/a,35,0.65,,0.45,365,1.05,,,Rockbridge,Rockbridge,,,+1 614-607-6700,Scioto Peninsula; independent lifestyle opened 2023; near COSI,travelweekly.com (198 rooms); daimlergroup.com (197-key confirmed); parkmobile.io confirms valet kiosk; Rockbridge developer/owner
Hampton Inn & Suites Columbus Downtown,Hotel,"501 North High Street, Columbus, OH 43215",https://www.hilton.com/en/hotels/cmhhshx-hampton-suites-columbus-downtown/,179,,,,n/a,n/a,0.55,,0.30,365,1.00,,,Hilton Hotels & Resorts,Hilton,,,+1 614-559-2000,downtown convention corridor; select-service; across from GCCC,travelweekly.com (179 rooms); hilton.com address confirmed; no valet confirmed (select-service default)
Residence Inn Columbus Downtown,Hotel,"36 East Gay Street, Columbus, OH 43215",https://www.marriott.com/en-us/hotels/cmhrd-residence-inn-columbus-downtown/overview/,126,,,,n/a,30,0.60,,0.30,365,1.00,,,Marriott Hotels & Resorts,Marriott International,,,+1 614-222-2610,downtown extended-stay; near Palace Theatre and Capitol Square,travelweekly.com (126 rooms); marriott.com; valet from tripadvisor reviews; occupancy default extended-stay
Courtyard by Marriott Columbus Downtown,Hotel,"35 West Spring Street, Columbus, OH 43215",https://www.marriott.com/en-us/hotels/cmhcy-courtyard-columbus-downtown/overview/,150,,,,n/a,n/a,0.58,,0.30,365,1.00,,,Marriott Hotels & Resorts,Marriott International,,,+1 614-228-3200,downtown near Arena District and Convention Center,travelweekly.com (150 rooms); cvent.com confirms 150 rooms; valet not confirmed; select-service default
Canopy by Hilton Columbus Downtown Short North,Hotel,"77 East Nationwide Boulevard, Columbus, OH 43215",https://www.hilton.com/en/hotels/cmhpypy-canopy-columbus-downtown-short-north/,150,,,,n/a,35,0.62,,0.40,365,1.05,,,Hilton Hotels & Resorts,Hilton,,,+1 614-948-1500,Short North / Arena District adjacent; lifestyle brand,hilton.com address confirmed; tripadvisor confirms valet; rooms estimated ~150 Canopy brand standard; valet_rate default
Sonesta Columbus Downtown,Hotel,"33 East Nationwide Boulevard, Columbus, OH 43215",https://www.sonesta.com,180,,,,n/a,n/a,0.58,,0.30,365,1.00,,,Sonesta International Hotels,Sonesta,,,+1 614-384-8000,Arena District; near Nationwide Arena; conference center,tripadvisor confirms 180 rooms (Orbitz listing); address from tripadvisor; no valet confirmed; select-service default
The Blackwell Inn,Hotel,"2110 Tuttle Park Place, Columbus, OH 43210",https://www.theblackwell.com,151,,,,n/a,35,0.62,,0.40,365,1.05,,,Concord Hospitality,Ohio State University,,,+1 614-247-4000,OSU campus; conference/event hotel; near Wexner Medical Center,tripadvisor top valet hotels Columbus; rooms confirmed ~151 per brand; valet confirmed in reviews
AC Hotel Columbus Dublin,Hotel,"6540 Riverside Drive, Dublin, OH 43017",https://www.marriott.com/en-us/hotels/cmhdb-ac-hotel-columbus-dublin/overview/,130,,,,n/a,n/a,0.60,,0.30,365,1.00,,,Marriott Hotels & Resorts,Marriott International,,,+1 614-389-3000,Bridge Park Dublin; upscale select-service; near Bridge Park dining/entertainment,tripadvisor (Bridge Park area); rooms estimated ~130 per AC brand; complimentary parking confirmed
SpringHill Suites Columbus Dublin,Hotel,"4475 Bridge Park Avenue, Dublin, OH 43017",https://www.marriott.com/en-us/hotels/cmhds-springhill-suites-columbus-dublin/overview/,145,,,,n/a,n/a,0.58,,0.30,365,1.00,,,Marriott Hotels & Resorts,Marriott International,,,+1 614-389-7800,Bridge Park Dublin submarket; extended-stay format,tripadvisor Bridge Park nearby list; rooms ~145 per SpringHill standard; address from tripadvisor
Greater Columbus Convention Center,Venue,"400 North High Street, Columbus, OH 43215",https://columbusconventions.com,,,,447000,n/a,n/a,,,,180,1.15,,sp_plus,SMG / ASM Global,City of Columbus,,,,downtown convention; 447000 sq ft exhibit space; connected to Hilton and Hyatt,wikipedia.org (447k sq ft); capacity shown as total exhibit sq ft (largest use case); columbusconventions.com; op_days = ~180 annual event days
Nationwide Arena,Venue,"200 West Nationwide Boulevard, Columbus, OH 43215",https://www.nationwidearena.com,,,,20000,15,n/a,,,,120,1.15,,sp_plus,CASE (Columbus Arena Sports & Entertainment),Franklin County / Nationwide Realty,,,,Arena District; home of Columbus Blue Jackets NHL; multi-purpose 20000-seat,nationwidearena.com (18500 hockey / 20000 concerts); self_park $15 nearby; op_days ~120 events/year; schottensteincenter.com PDF confirms CASE management
Huntington Park,Venue,"330 Huntington Park Lane, Columbus, OH 43215",https://www.milb.com/columbus,,,,10100,10,n/a,,,,80,1.05,,sp_plus,Columbus Clippers / CASE,Columbus Clippers,,,,Arena District; home of Columbus Clippers Triple-A baseball,wikipedia.org (10100 capacity); self_park $10 estimated; op_days ~80 home games; near Nationwide Arena
Schottenstein Center,Venue,"555 Borror Drive, Columbus, OH 43210",https://www.schottensteincenter.com,,,,20000,15,n/a,,,,90,1.10,,sp_plus,CASE (Columbus Arena Sports & Entertainment),Ohio State University,,,,OSU campus; 20000 concert/basketball; 3 miles from downtown,venuecoalition.com (18000 in-round / 20000 max); self_park $15 OSU lots; op_days ~90 events/year
Lower.com Field,Venue,"96 Columbus Crew Way, Columbus, OH 43215",https://www.columbuscrew.com/stadium,,,,20139,12,n/a,,,,25,1.10,,sp_plus,Columbus Crew (MLS),Columbus Crew,,,,downtown Astor Park; MLS stadium opened 2021; near Scioto Mile,columbuscrew.com (20139 seats); self_park $12 street/lots; op_days ~25 home matches + events
Ohio Theatre,Venue,"39 East State Street, Columbus, OH 43215",https://www.capa.com/ohio-theatre/,,,,2979,n/a,n/a,,,,200,1.10,,,CAPA (Columbus Association for the Performing Arts),City of Columbus / CAPA,,,,Capitol Square downtown; historic 1928 performing arts center; Thanksgiving 2979-seat,wikipedia.org; capa.com address; op_days ~200 shows/year estimate; no parking on-site
Palace Theatre,Venue,"34 West Broad Street, Columbus, OH 43215",https://www.capa.com/palace-theatre/,,,,2695,n/a,n/a,,,,150,1.10,,,CAPA (Columbus Association for the Performing Arts),City of Columbus / CAPA,,,,downtown adjacent to Residence Inn and State Capitol; 2695-seat restored movie palace,wikipedia.org (2695 seats); cvent.com confirms address; op_days ~150 shows/year estimate
Newport Music Hall,Venue,"1722 North High Street, Columbus, OH 43201",https://www.promowestlive.com,,,,1700,n/a,n/a,,,,150,1.05,,,PromoWest Productions,PromoWest Productions,,,,OSU/University District; long-running rock club,cvent.com (1700 capacity); wikipedia.org; op_days ~150 events/year
Hollywood Casino Columbus,Venue,"200 Georgesville Road, Columbus, OH 43228",https://www.hollywoodcolumbus.com,,,,2000,n/a,n/a,,,,365,1.00,,,Penn Entertainment,Penn Entertainment,,,,west Columbus; 2200+ slots; steakhouse restaurant on-site; 365 days,cvent.com (2000 seating capacity); columbussports.org; op_days 365 casino operations
Shadowbox Live,Venue,"503 South Front Street Suite 260, Columbus, OH 43215",https://shadowboxlive.org,,,,500,n/a,n/a,,,,250,1.05,,,Shadowbox Live (Independent),Shadowbox Live,,,,Brewery District / South Front; resident theater ensemble; dinner-theater,shadowboxlive.org (100-seat cabaret + main stage ~500); tripadvisor address confirmed; op_days ~250 shows/year
Ohio State University Wexner Medical Center,Hospital,"410 West 10th Avenue, Columbus, OH 43210",https://wexnermedical.osu.edu,,,1154,,,8,,,,365,1.00,,,OSU Wexner Medical Center,The Ohio State University,,,,OSU campus medical corridor; 1154 staffed beds; flagship teaching hospital with new 820-bed tower opened Feb 2026,ahd.com (1154 staffed beds); wexnermedical.osu.edu (facts page confirms 1439 staffed across system; single hospital ~1154); valet_rate $8 estimate standard hospital
OhioHealth Riverside Methodist Hospital,Hospital,"3535 Olentangy River Road, Columbus, OH 43214",https://www.ohiohealth.com/locations/hospitals/riverside-methodist-hospital,,,1059,,,8,,,,365,1.00,,,OhioHealth,OhioHealth,,,,north Columbus near OSU/Short North corridor; OhioHealth's largest hospital 1059 beds,ohiohealth.com (1059-bed confirmed); ahd.com; mysourcepoint.org address confirmed
Nationwide Children's Hospital,Hospital,"700 Children's Drive, Columbus, OH 43205",https://www.nationwidechildrens.org,,,701,,,5,,,,365,1.00,,,Nationwide Children's Hospital,Nationwide Children's Hospital,,,,south Columbus; 701 staffed beds; largest neonatal network in US,ahd.com (701 staffed beds); nationwidechildrens.org
OhioHealth Grant Medical Center,Hospital,"111 South Grant Avenue, Columbus, OH 43215",https://www.ohiohealth.com/locations/hospitals/grant-medical-center,,,505,,,8,,,,365,1.00,,,OhioHealth,OhioHealth,,,,downtown CBD; Level 1 trauma center; central Columbus,ahd.com (505 staffed beds); wikipedia.org; downtown location confirmed
Mount Carmel East,Hospital,"6001 East Broad Street, Columbus, OH 43213",https://www.mountcarmelhealth.com/location/mount-carmel-east,,,400,,,8,,,,365,1.00,,,Trinity Health,Trinity Health / Mount Carmel Health System,,,,east Columbus; recently renovated 400-bed all-private-room facility,mountcarmelhealth.com (400-bed confirmed post-2019 renovation); wikipedia.org
OhioHealth Dublin Methodist Hospital,Hospital,"7500 Hospital Drive, Dublin, OH 43016",https://www.ohiohealth.com/locations/hospitals/dublin-methodist-hospital,,,100,,,8,,,,365,1.00,,,OhioHealth,OhioHealth,,,,Dublin submarket; Bridge Park / suburban corridor,wikipedia.org; ohio.gov chamber.com (address); beds ~100 per community hospital standard; valet_rate default
Mitchell's Steakhouse Downtown,Restaurant,"45 North Third Street, Columbus, OH 43215",https://www.mitchellssteakhouse.com/location/mitchells-steakhouse-columbus-downtown/,,250,,,n/a,20,,,0.125,365,1.00,,,Cameron Mitchell Restaurants,Cameron Mitchell Restaurants,,,(614) 621-2333,downtown CBD; steakhouse; near Convention Center and State Capitol,mitchellssteakhouse.com (address); seats default 250 fine-dining steakhouse per brief; valet_rate $20 estimate per brief
The Capital Grille Columbus,Restaurant,"1827 Olentangy River Road, Columbus, OH 43212",https://www.thecapitalgrille.com/locations/oh/columbus/columbus/8079,,250,,,n/a,20,,,0.125,365,1.00,,,Darden Restaurants,Darden Restaurants,,,(614) 453-2760,University District / near OSU; upscale steakhouse chain,tripadvisor (address confirmed); yelp confirms; seats default 250; valet_rate $20 default
Eddie Merlot's Columbus Polaris,Restaurant,"1570 Polaris Parkway, Columbus, OH 43240",https://www.eddiemerlots.com/columbus/,,250,,,n/a,18,,,0.125,365,1.00,,,Eddie Merlot's (independently operated),Eddie Merlot's,,,(614) 433-7307,Polaris submarket north Columbus; main dining 140 / full reception 300,eddiemerlots.com (capacity data); address confirmed; Karl Voltz GM; seats 250 interior (default fine-dining steakhouse); gm: Karl Voltz
Hyde Park Prime Steakhouse Downtown,Restaurant,"569 North High Street, Columbus, OH 43215",https://www.hydeparkrestaurants.com/location/downtown-columbus/,,250,,,n/a,10,,,0.125,365,1.00,,,Hyde Park Restaurant Group,Hyde Park Restaurant Group,,,(614) 224-2204,Short North / Arena District; valet $7–10 curbside; across from Convention Center,hydeparkrestaurants.com (address and valet confirmed $10); opentable.com (valet $7 per listing); seats default 250 steakhouse
Lindey's,Restaurant,"169 East Beck Street, Columbus, OH 43206",https://www.lindeys.com,,200,,,n/a,n/a,,,0.125,365,1.00,,,Independent,Independent,,,(614) 228-4343,German Village; complimentary valet; upscale American,lindeys.com confirms complimentary valet; address confirmed; seats default 200 upscale-casual
The Refectory,Restaurant,"1092 Bethel Road, Columbus, OH 43220",https://refectory.com,,150,,,n/a,18,,,0.125,365,1.00,,,Independent,Independent,,,(614) 451-9774,northwest Columbus near Upper Arlington; French-American fine dining; 50-year institution,refectory.com (address); yelp confirms; seats default 150 chef-driven; valet_rate $18 default
Wolf's Ridge Brewing,Restaurant,"215 North 4th Street, Columbus, OH 43215",https://www.wolfsridgebrewing.com,,150,,,n/a,n/a,,,0.10,365,1.00,,,Independent,Independent,,,(844) 753-1235,downtown CBD; craft brewery with full restaurant; Hickory Room event space,yelp.com (address); experiencecolumbus.com; seats default 150 upscale-casual; no valet confirmed
Veritas,Restaurant,"11 West Gay Street, Columbus, OH 43215",https://veritasrestaurant.com,,100,,,n/a,n/a,,,0.125,365,1.00,,,Independent,Independent,,,(614) 745-3864,downtown near Palace Theatre and Residence Inn; wine bar / fine dining,yelp.com (address); veritasrestaurant.com; seats default 100 chef-driven; no valet confirmed
