name,type,address,url,rooms,seats,beds,capacity,self_park_rate,valet_rate,occupancy,turnover,valet_conv,op_days,peak_mod,valet_operator,garage_operator,management,ownership_group,gm,email,phone,location_notes,sourcing_notes
Hyatt Regency St. Louis at the Arch,Hotel,"315 Chestnut St, St. Louis, MO 63102",https://www.hyatt.com/hyatt-regency/en-US/stlrs-hyatt-regency-st-louis-at-the-arch,910,,,,,45,0.60,,0.40,365,1.10,,sp_plus,Hyatt Hotels Corporation,Hyatt,,,(314) 655-1234,downtown convention; adjacent to Gateway Arch and riverfront,hyatt.com 910 rooms; travelweekly.com 910 rooms confirmed; valet_rate $45 default downtown convention
Marriott St. Louis Grand,Hotel,"800 Washington Ave, St. Louis, MO 63101",https://www.marriott.com/en-us/hotels/stlmg-marriott-st-louis-grand/overview/,917,,,,40,65,0.60,,0.40,365,1.10,,sp_plus,Marriott International,Marriott,,,(314) 621-9600,downtown Washington Ave corridor; major convention hotel; historic ballrooms,marriott.com official; tripadvisor 917 rooms; valet $65/day and self-park $40 confirmed marriott.com
Four Seasons Hotel St. Louis,Hotel,"999 N 2nd St, St. Louis, MO 63102",https://www.fourseasons.com/stlouis/,200,,,,n/a,55,0.68,,0.45,365,1.05,towne park,,Four Seasons Hotels and Resorts,Four Seasons Hotels and Resorts,,,(314) 881-5800,downtown luxury; steps from Gateway Arch and Busch Stadium,fourseasons.com official; tripadvisor 200 rooms; valet_rate $55 default luxury; towne park FS standard
Hilton St. Louis at the Ballpark,Hotel,"1 S Broadway, St. Louis, MO 63102",https://www.hilton.com/en/hotels/stlbvhf-hilton-st-louis-at-the-ballpark/,671,,,,n/a,45,0.62,,0.40,365,1.15,towne park,towne park,Hilton Hotels & Resorts,Blackstone Real Estate,,,(314) 655-9090,event-district; adjacent to Busch Stadium; 360 rooftop bar,hilton.com official; travelweekly.com 671 rooms; peak_mod 1.15 baseball season
Live! by Loews – St. Louis,Hotel,"799 Clark Ave, St. Louis, MO 63102",https://www.loewshotels.com/live-by-loews-st-louis-missouri,216,,,,n/a,40,0.65,,0.40,365,1.15,,towne park,Loews Hotels & Co,Loews Hotels & Co,,,(314) 597-9700,event-district; inside Ballpark Village; Cardinals-branded lifestyle hotel,loewshotels.com official 216 rooms; AAA 4 Diamond; peak_mod 1.15
Hilton Pennywell St. Louis at the Arch,Hotel,"400 Olive St, St. Louis, MO 63102",https://www.hilton.com/en/hotels/stlddhf-hilton-pennywell-st-louis-at-the-arch/,195,,,,n/a,35,0.58,,0.40,365,1.00,,laz,Hilton Hotels & Resorts,Hilton Hotels & Resorts,,,(314) 436-0002,downtown financial district; formerly Hilton St. Louis Downtown at the Arch,tripadvisor 195 rooms; travelweekly 195 rooms; brand renamed Pennywell 2024
The Westin St. Louis,Hotel,"811 Spruce St, St. Louis, MO 63102",https://www.marriott.com/en-us/hotels/stlwi-the-westin-st-louis/overview/,263,,,,n/a,40,0.60,,0.40,365,1.05,,sp_plus,Marriott International,Marriott,,,(314) 621-2000,downtown; across from Busch Stadium; loft-style rooms,marriott.com official 263 rooms; travelweekly 263 rooms
Magnolia Hotel St. Louis,Hotel,"421 N 8th St, St. Louis, MO 63101",https://www.magnoliahotels.com/stlouis/,182,,,,n/a,35,0.65,,0.45,365,1.00,,independent,Tribute Portfolio (Marriott),Lodging Hospitality Management,,,(314) 436-9000,downtown boutique; historic 1925 Mayfair Hotel building; lifestyle,magnoliahotels.com 182 rooms; tripadvisor 182 rooms
The Last Hotel,Hotel,"1501 Washington Ave, St. Louis, MO 63103",https://www.thelasthotelstl.com,142,,,,n/a,30,0.65,,0.45,365,1.00,,independent,independent,The Last Hotel STL LLC,,,(314) 390-2500,downtown Washington Ave arts corridor; boutique conversion; rooftop pool,tripadvisor 142 rooms; travelweekly 142 rooms
Angad Arts Hotel St. Louis,Hotel,"3550 Samuel Sheppard Dr, St. Louis, MO 63103",https://www.hilton.com/en/hotels/stlaaup-angad-arts-hotel-st-louis/,146,,,,n/a,35,0.65,,0.45,365,1.00,,independent,Tapestry Collection by Hilton,Angad Arts Hotel Inc,,,(314) 561-0033,Grand Center arts district; 1 block from Fox Theatre; lifestyle boutique,hilton.com official 146 rooms; tripadvisor 146 rooms
