name,type,address,url,rooms,seats,beds,capacity,self_park_rate,valet_rate,occupancy,turnover,valet_conv,op_days,peak_mod,valet_operator,garage_operator,management,ownership_group,gm,email,phone,location_notes,sourcing_notes
Hilton Minneapolis,Hotel,"1001 Marquette Ave S, Minneapolis, MN 55403",https://www.hilton.com/en/hotels/mspmhhh-hilton-minneapolis/,826,,,,n/a,45,0.60,,0.40,365,1.05,towne_park,abm,Hilton Hotels & Resorts,Hilton portfolio,,,612-376-1000,downtown convention corridor; skyway-connected to MCC; largest hotel in MN,826 rooms Wikipedia/TripAdvisor; valet rate default; Towne Park confirmed via Towne Park job listing Minneapolis Marriott/Rand Tower block; ABM Ramp A nearby
Hyatt Regency Minneapolis,Hotel,"1300 Nicollet Mall, Minneapolis, MN 55403",https://www.hyatt.com/hyatt-regency/en-US/msprm-hyatt-regency-minneapolis,644,,,,n/a,45,0.60,,0.40,365,1.10,towne_park,abm,Hyatt Hotels Corp,Hyatt,,,612-370-1234,downtown Nicollet Mall; largest meeting hotel; 130k sq ft event space; convention-heavy,644 rooms Meet Minneapolis directory meetminneapolis.org; peak_mod 1.10 for convention load
Minneapolis Marriott City Center,Hotel,"30 S 7th St, Minneapolis, MN 55402",https://www.marriott.com/en-us/hotels/mspcc-minneapolis-marriott-city-center/overview/,585,,,,n/a,45,0.60,,0.40,365,1.05,towne_park,,Marriott Hotels & Resorts,Marriott International,,,612-349-4000,downtown; 32-floor skyscraper; skyway to Target Center; 585 rooms,585 rooms Wikipedia; Towne Park confirmed via job posting listing Minneapolis Marriott by name
Westin Minneapolis,Hotel,"88 S 6th St, Minneapolis, MN 55402",https://www.marriott.com/en-us/hotels/mspmi-the-westin-minneapolis/overview/,214,,,,n/a,40,0.65,,0.40,365,1.0,,,Marriott Hotels & Resorts,Marriott International,,,612-333-4006,downtown 6th St; weekend-only valet (Fri-Sun); Marriott-managed,214 rooms est; valet weekend-only per Marriott site; operator unknown
W Minneapolis - The Foshay,Hotel,"821 Marquette Ave, Minneapolis, MN 55402",https://www.marriott.com/en-us/hotels/mspwh-w-minneapolis-the-foshay/overview/,229,,,,25,60,0.65,,0.45,365,1.0,,,Marriott Hotels & Resorts,Marriott International,,,612-215-3700,downtown Foshay Tower historic; Manny's Steakhouse in lobby; near US Bank Stadium,229 rooms TravelWeekly; valet $60 daily confirmed Marriott site; daily rate $25; Foshay tower 1929
Four Seasons Hotel Minneapolis,Hotel,"245 Hennepin Ave, Minneapolis, MN 55401",https://www.fourseasons.com/minneapolis/,222,,,,n/a,60,0.70,,0.50,365,1.05,,,Four Seasons Hotels & Resorts,Thor Equities / Four Seasons,,,612-895-5700,North Loop luxury high-rise opened 2022; Gavin Kaysen Mara restaurant; near Target Field,222 rooms est (luxury tower per Four Seasons site room listings); valet $60 confirmed TripAdvisor review; Four Seasons managed
Hotel Ivy - Luxury Collection,Hotel,"201 S 11th St, Minneapolis, MN 55403",https://www.thehotelivy.com,136,,,,n/a,50,0.65,,0.45,365,1.0,,,Marriott Hotels & Resorts,Sage Hospitality,,,612-746-4600,downtown boutique; Skyway-connected; Luxury Collection brand; 136 rooms,136 rooms TripAdvisor listing; Luxury Collection by Marriott; Sage Hospitality manages per hotel history
Le Meridien Chambers Minneapolis,Hotel,"901 Hennepin Ave, Minneapolis, MN 55403",https://www.chambershoteldowntown.com,60,,,,n/a,35,0.65,,0.45,365,1.0,,,Marriott Hotels & Resorts,Chambers Hotel Group,,,612-767-6900,downtown Hennepin art-hotel boutique; design-forward; smaller intimate property,60 rooms est from room layouts on chambershoteldowntown.com; Le Meridien / Marriott flag
Renaissance Minneapolis Hotel The Depot,Hotel,"225 S 3rd Ave, Minneapolis, MN 55401",https://www.marriott.com/en-us/hotels/mspdd-renaissance-minneapolis-hotel-the-depot/overview/,335,,,,n/a,45,0.60,,0.40,365,1.0,,,Marriott Hotels & Resorts,White Lodging,,,612-375-1700,Mill District historic train depot; near Stone Arch Bridge; event-heavy property,335 rooms TripAdvisor; White Lodging management per operator research; Milwaukee Road Depot
The Lofton Hotel Minneapolis (Tapestry/Hilton),Hotel,"601 1st Ave N, Minneapolis, MN 55403",https://www.hilton.com/en/hotels/msplhpy-the-lofton-hotel-minneapolis/,251,,,,n/a,35,0.60,,0.40,365,1.0,,,Marcus Hotels & Resorts,Marcus Hotels / Hempel Real Estate / Robinson Park,,,612-638-1632,North Loop; skywalk to Target Center; formerly Loews Minneapolis; rebranded 2024,251 rooms per Marcus Hotels press release; rebranded from Loews Mar 2024; sold $23.5M Hennepin County records
